id,sentiment_negative,sentiment_neutral,sentiment_positive,topic_id,topic_probability,predicted_behavior,source,score,engagement,keyword_count
648,0.0035203692968934774,0.010103072039783001,0.9863765835762024,0,1.0,purchase_intent,youtube,1,1,1
653,0.0038201846182346344,0.0229650866240263,0.9732147455215454,0,1.0,purchase_intent,youtube,7,1,1
655,0.006258966866880655,0.303351491689682,0.6903895735740662,0,1.0,passive_browsing,youtube,25,2,2
656,0.01116986945271492,0.03623136132955551,0.9525988101959229,0,0.9208962459002988,purchase_intent,youtube,8,1,3
659,0.0028597069904208183,0.016073739156126976,0.9810665845870972,0,1.0,purchase_intent,youtube,4,1,1
664,0.0038272228557616472,0.010036766529083252,0.9861359596252441,0,1.0,purchase_intent,youtube,0,1,1
665,0.05053068324923515,0.38752782344818115,0.5619415044784546,0,1.0,passive_browsing,youtube,7,1,1
669,0.003976732492446899,0.09608770906925201,0.8999355435371399,0,1.0,purchase_intent,youtube,4,1,1
671,0.0034575259778648615,0.00698087178170681,0.9895616173744202,0,0.8953561868854659,purchase_intent,youtube,27,1,1
674,0.004226867109537125,0.02920658327639103,0.9665665626525879,0,0.7681107309140812,purchase_intent,youtube,5,1,1
675,0.0026417342014610767,0.01103624701499939,0.9863220453262329,0,1.0,purchase_intent,youtube,11,2,1
676,0.005762489978224039,0.05018775910139084,0.9440497756004333,0,1.0,purchase_intent,youtube,1,1,1
678,0.0018556236755102873,0.021555060520768166,0.9765892624855042,0,0.7702642753930798,purchase_intent,youtube,9,1,1
679,0.16050012409687042,0.31428730487823486,0.5252125859260559,0,0.8896062182740562,passive_browsing,youtube,29,1,2
680,0.0023379132617264986,0.011164724826812744,0.9864973425865173,0,0.9006212355590265,purchase_intent,youtube,2,1,1
690,0.0026153295766562223,0.007750207092612982,0.9896344542503357,0,0.6960789181940661,purchase_intent,youtube,5,1,1
693,0.0039860764518380165,0.009237902238965034,0.9867760539054871,0,1.0,purchase_intent,youtube,24,1,1
694,0.003846334759145975,0.009739011526107788,0.9864146113395691,0,0.9135077594334277,purchase_intent,youtube,100,2,1
695,0.0025877824518829584,0.02169353887438774,0.9757187366485596,0,0.9742532428885456,purchase_intent,youtube,2,0,1
696,0.00575397489592433,0.061706848442554474,0.9325392246246338,0,0.7851690278533882,purchase_intent,youtube,4,1,1
699,0.004721319302916527,0.018238132819533348,0.9770405292510986,0,1.0,purchase_intent,youtube,2,1,2
702,0.0028880026657134295,0.012212879955768585,0.98489910364151,0,0.8766808255038807,purchase_intent,youtube,30,3,1
705,0.005244806874543428,0.04460984095931053,0.9501453638076782,0,0.834666039922698,purchase_intent,youtube,18,1,1
708,0.00496227340772748,0.010727453045547009,0.9843102693557739,0,1.0,purchase_intent,youtube,11,2,1
710,0.003217089921236038,0.020547369495034218,0.9762355089187622,22,0.7376159212853031,purchase_intent,youtube,6,1,1
