id,post_cid,post_uri,text,author_handle,like_count,repost_count,reply_count,created_at,query_used,collected_at,source
147,bafyreib3kjcredcsambdo4jxhugrvavvl4546tj4unrtzt5wq3jtdudpae,at://did:plc:wzd45wbeevao535gkud5mgpm/app.bsky.feed.post/3mbmypiyzq22i,"Dear Friends,

I’m excited to share that we have launched the patented product, gO2Therapy, in the USA for the first time! 🎉

youtube.com/shorts/ltQX2...

You can purchase gO2Therapy on Amazon, and appreciate if you could leave a review

www.amazon.com/shops/gO2Therapy

Thank you for your support! 🙏",garrysling.bsky.social,0,0,0,2026-01-05 06:43:13.720000,product review purchase,2026-06-02 18:36:12.531064,bluesky
148,bafyreig2pawekjww4xkbbzqt7qoa4omcu4fbvkznt7uvg75khxfwdl24ai,at://did:plc:6w7425hsc4mjjkte2mbsxdhw/app.bsky.feed.post/3mbedfy3zfv2i,"Rumble boxing review: I’ve lost 75 pounds doing this workout consistently

https://www.newsbeep.com/uk/346291/

If you purchase a product through a link on our site, we may receive compensation. I’m a ‘90s…",uk-nb.bsky.social,0,0,0,2026-01-01 20:00:43.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
149,bafyreiajow4vzw7qkqefwhz75zkxuxlnrgklyas2ee5wf7o4t3e2jfnx3q,at://did:plc:2gp3m6bnzqynpqq4nlwto5ar/app.bsky.feed.post/3mbc4xwxi7i26,"Rumble boxing review: I’ve lost 75 pounds doing this workout consistently

https://www.newsbeep.com/ca/379558/

If you purchase a product through a link on our site, we may receive compensation. I’m a ‘90s…",ca-nb.bsky.social,0,0,0,2025-12-31 23:00:10.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
150,bafyreie5tqvmxac7tarsvo5x3mi27t2a7cxmswolqskmk6ccppe2oja7iq,at://did:plc:qljmdpye34caiyjzuh7g6sdk/app.bsky.feed.post/3mazdnpq7ms2t,"#Web #Etiquette for 2026

⛔ If you send me more than one email requesting a review of a purchase, or more than one for every six purchases, I will leave a fair review of your product but deduct stars for bad service, and explain why. 

#UX #UI  /2",chapman.wiki,1,1,0,2025-12-28 11:05:50.056000,product review purchase,2026-06-02 18:36:12.531064,bluesky
151,bafyreiae3kpiin2g2rkpqtwweaasoej3h7iacs7pnr6vwfkhkawbz5yutu,at://did:plc:w2dx4zncuhlrtnhj5jusypu6/app.bsky.feed.post/3mavkgugvms2b,"I recently got access to the ""Reviews"" function on my website and @keletkezes.bsky.social was so kind to leave the first reviews I've ever gotten 🫶
The best thing is shop reviews display across all my listings, so you can get a peek at the experience other shoppers had before making a purchase!",hyeleth.bsky.social,6,1,1,2025-12-26 22:56:37.347000,product review purchase,2026-06-02 18:36:12.531064,bluesky
152,bafyreidt3sgreka4pmynhmmbfnon4ceew57idlqvzkkqx7pdk4nijdlz3a,at://did:plc:mqql3znzktx7r5n4zxoe4cy6/app.bsky.feed.post/3mafomgxmts2h,"[ Product Review ]

Random purchase 2 weeks ago as had some dry skin, seemed to work well, not oily, skin smooth as baby bum now!

I think it was MEGA cheap $3.40

I was intrigued by the name so looked it up! 🤔

It's made of ground up Emus! (I hope only the angry spitting ones! [or is that camels?])",paws101.bsky.social,0,0,0,2025-12-20 15:28:43.698000,product review purchase,2026-06-02 18:36:12.531064,bluesky
153,bafyreibeq7ioafg4y3kt4cbyro352l5ug4iacdmehujjmxgpwl2ibmpirq,at://did:plc:6w7425hsc4mjjkte2mbsxdhw/app.bsky.feed.post/3maedhfj6332b,"How To Buy Smartwatch Online, Review, Hands-On

https://www.newsbeep.com/uk/325088/

If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may…",uk-nb.bsky.social,0,0,0,2025-12-20 02:36:19.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
154,bafyreibwidb6vor5taryw2j2ikvyvjkjbi2wb2m2lptjfpp5xd54o2picq,at://did:plc:2gp3m6bnzqynpqq4nlwto5ar/app.bsky.feed.post/3madq5ih3pc2t,"How To Buy Smartwatch Online, Review, Hands-On

https://www.newsbeep.com/ca/355464/

If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may…",ca-nb.bsky.social,0,0,0,2025-12-19 20:50:45.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
155,bafyreifetlmch26y4m36bbbjajxrdw42cwqsxuij52rnwpsjw7f6vgm6qu,at://did:plc:ni6cl7jipinqldoyowqlbrwp/app.bsky.feed.post/3maczr4ettb2u,"How To Buy Smartwatch Online, Review, Hands-On

https://www.newsbeep.com/au/357672/

If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may…",au-nb.bsky.social,0,0,0,2025-12-19 14:10:08.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
156,bafyreidytmnlms7yx3efgogvhjglawhgkchaptha6v6gadtogzztvx2xoa,at://did:plc:cvhzp4oqk57twhhjji5o2b3t/app.bsky.feed.post/3macyfjo7tt23,"How To Buy Smartwatch Online, Review, Hands-On

https://www.newsbeep.com/nz/191238/

If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may…",nz-nb.bsky.social,0,0,0,2025-12-19 13:45:46.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
